Tabela,Data,Kurs średni,Zmiana
40/A/NBP/2022,2022-02-28,4.6909,0.65
39/A/NBP/2022,2022-02-25,4.6608,0.7
38/A/NBP/2022,2022-02-24,4.6284,2.06
37/A/NBP/2022,2022-02-23,4.5352,-0.14
36/A/NBP/2022,2022-02-22,4.5416,0.49
35/A/NBP/2022,2022-02-21,4.5193,-0.14
34/A/NBP/2022,2022-02-18,4.5256,0.37
33/A/NBP/2022,2022-02-17,4.5088,0.38
32/A/NBP/2022,2022-02-16,4.4916,-0.39
31/A/NBP/2022,2022-02-15,4.5091,-1.43
30/A/NBP/2022,2022-02-14,4.5743,1.28
29/A/NBP/2022,2022-02-11,4.5163,0.63
28/A/NBP/2022,2022-02-10,4.4879,-0.64
27/A/NBP/2022,2022-02-09,4.5167,-0.24
26/A/NBP/2022,2022-02-08,4.5274,-0.61
25/A/NBP/2022,2022-02-07,4.555,0.2
24/A/NBP/2022,2022-02-04,4.5459,0.04
23/A/NBP/2022,2022-02-03,4.5439,-0.13
22/A/NBP/2022,2022-02-02,4.55,-0.7
21/A/NBP/2022,2022-02-01,4.582,0
