Tabela,Data,Kurs średni,Zmiana
40/A/NBP/2022,2022-02-28,4.1965,0.68
39/A/NBP/2022,2022-02-25,4.1683,0.97
38/A/NBP/2022,2022-02-24,4.1281,3.37
37/A/NBP/2022,2022-02-23,3.9937,-0.46
36/A/NBP/2022,2022-02-22,4.012,0.88
35/A/NBP/2022,2022-02-21,3.9769,-0.07
34/A/NBP/2022,2022-02-18,3.9798,0.28
33/A/NBP/2022,2022-02-17,3.9687,0.53
32/A/NBP/2022,2022-02-16,3.9478,-0.66
31/A/NBP/2022,2022-02-15,3.974,-1.73
30/A/NBP/2022,2022-02-14,4.0439,1.95
29/A/NBP/2022,2022-02-11,3.9665,1.14
28/A/NBP/2022,2022-02-10,3.9218,-0.79
27/A/NBP/2022,2022-02-09,3.953,-0.41
26/A/NBP/2022,2022-02-08,3.9693,-0.45
25/A/NBP/2022,2022-02-07,3.9872,0.54
24/A/NBP/2022,2022-02-04,3.9657,-1.51
23/A/NBP/2022,2022-02-03,4.0267,-0.04
22/A/NBP/2022,2022-02-02,4.0283,-1
21/A/NBP/2022,2022-02-01,4.0689,0
